duration,credit_amount,age,checking_status,credit_history,purpose,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
30,8072,25,0<=X<200,no credits/all paid,retraining,500<=X<1000,unemployed,2,male mar/wid,none,1,life insurance,bank,own,3,unemp/unskilled non res,2,yes,yes,bad
24,12579,44,0<=X<200,all paid,used car,no known savings,unemployed,3,male single,none,4,no known property,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
6,1374,36,<0,all paid,furniture/equipment,500<=X<1000,1<=X<4,1,male div/sep,guarantor,2,real estate,bank,own,1,unskilled resident,2,none,no,good
7,2415,34,0<=X<200,existing paid,repairs,100<=X<500,1<=X<4,3,male mar/wid,guarantor,2,real estate,bank,own,1,unskilled resident,1,none,no,good
24,4020,27,<0,all paid,domestic appliance,500<=X<1000,1<=X<4,2,male div/sep,co applicant,2,life insurance,stores,own,1,high qualif/self emp/mgmt,2,none,yes,bad
18,5866,30,0<=X<200,delayed previously,domestic appliance,100<=X<500,1<=X<4,2,male mar/wid,co applicant,2,car,none,own,4,high qualif/self emp/mgmt,2,yes,no,bad
12,1474,33,>=200,all paid,furniture/equipment,>=1000,<1,1,male div/sep,co applicant,1,real estate,stores,own,4,high qualif/self emp/mgmt,2,yes,yes,bad
9,458,24,0<=X<200,existing paid,retraining,100<=X<500,4<=X<7,4,male mar/wid,guarantor,3,real estate,none,own,1,skilled,1,none,yes,good
12,1158,26,>=200,existing paid,business,500<=X<1000,1<=X<4,2,male div/sep,none,1,car,bank,own,1,skilled,1,yes,yes,good
11,7228,39,no checking,critical/other existing credit,new car,>=1000,>=7,1,female div/dep/mar,guarantor,2,life insurance,none,rent,2,unemp/unskilled non res,2,none,no,good
12,1262,25,>=200,existing paid,domestic appliance,500<=X<1000,1<=X<4,3,male mar/wid,guarantor,2,car,none,own,1,skilled,1,none,no,good
18,3378,31,no checking,existing paid,used car,no known savings,4<=X<7,1,male div/sep,none,1,life insurance,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
36,2225,57,0<=X<200,no credits/all paid,education,100<=X<500,>=7,4,male single,none,4,no known property,bank,for free,4,high qualif/self emp/mgmt,2,yes,yes,bad
6.00000000000001,783,26,no checking,all paid,retraining,>=1000,1<=X<4,1,male single,guarantor,2,real estate,stores,own,1,unskilled resident,2,none,no,good
18,1961,23,>=200,existing paid,other,500<=X<1000,<1,3,male mar/wid,co applicant,2,car,none,rent,1,high qualif/self emp/mgmt,1,yes,no,bad
24,3181,26,>=200,existing paid,domestic appliance,no known savings,<1,4,female div/dep/mar,none,1,life insurance,none,rent,4,skilled,1,yes,yes,good
27,5190,48,0<=X<200,all paid,domestic appliance,100<=X<500,>=7,4,female div/dep/mar,guarantor,4,life insurance,bank,rent,4,skilled,2,yes,yes,bad
12,2171,29,>=200,all paid,radio/tv,<100,<1,1,male mar/wid,none,1,car,bank,own,4,skilled,1,none,yes,bad
12,1007,22,>=200,existing paid,radio/tv,>=1000,<1,1,male mar/wid,guarantor,1,real estate,stores,own,4,unemp/unskilled non res,1,none,no,good
7,730,46,no checking,critical/other existing credit,retraining,no known savings,>=7,4,male single,co applicant,4,life insurance,stores,own,2,unskilled resident,2,yes,no,good
8,1164,51,<0,all paid,other,<100,unemployed,3,male div/sep,co applicant,4,no known property,bank,for free,3,high qualif/self emp/mgmt,2,yes,yes,bad
24,5943,44,0<=X<200,no credits/all paid,domestic appliance,no known savings,<1,1,female div/dep/mar,none,1,car,none,own,4,unemp/unskilled non res,1,yes,yes,bad
10,2315,52,>=200,existing paid,retraining,<100,>=7,3,male mar/wid,guarantor,4,real estate,none,rent,1,unskilled resident,2,none,no,good
12,1412,29,0<=X<200,delayed previously,repairs,>=1000,unemployed,1,male mar/wid,guarantor,2,real estate,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
12,1108,28,0<=X<200,no credits/all paid,repairs,100<=X<500,4<=X<7,2,male single,guarantor,1,life insurance,none,own,2,unskilled resident,2,none,yes,bad
18,2622,34,0<=X<200,no credits/all paid,business,100<=X<500,1<=X<4,2,male single,guarantor,2,car,bank,rent,4,skilled,1,yes,yes,bad
36,2337,36,>=200,critical/other existing credit,repairs,no known savings,>=7,4,male mar/wid,guarantor,4,real estate,none,own,3,skilled,1,none,yes,good
20,7057,36,0<=X<200,delayed previously,used car,100<=X<500,4<=X<7,3,male single,guarantor,3,no known property,bank,for free,4,high qualif/self emp/mgmt,2,yes,no,good
24,1469,41,>=200,no credits/all paid,retraining,100<=X<500,<1,3,male mar/wid,guarantor,4,real estate,none,rent,4,unemp/unskilled non res,2,none,no,good
36,2323,24,0<=X<200,existing paid,domestic appliance,100<=X<500,4<=X<7,3,male mar/wid,guarantor,3,car,none,rent,4,skilled,1,none,yes,good
6,932,24,no checking,delayed previously,radio/tv,>=1000,1<=X<4,3,male mar/wid,guarantor,2,real estate,stores,own,2,unskilled resident,1,none,yes,good
18,6458,39,<0,all paid,other,500<=X<1000,>=7,4,male single,co applicant,3,no known property,bank,for free,3,high qualif/self emp/mgmt,2,yes,no,bad
12,6078,32,0<=X<200,delayed previously,domestic appliance,no known savings,4<=X<7,2,male mar/wid,guarantor,3,car,none,own,1,skilled,2,none,no,bad
24,7721,30,<0,existing paid,domestic appliance,no known savings,<1,1,male div/sep,co applicant,1,life insurance,none,rent,1,unemp/unskilled non res,2,none,no,good
12,1680,35,>=200,existing paid,retraining,500<=X<1000,<1,3,male mar/wid,guarantor,1,real estate,none,own,3,unskilled resident,1,none,no,good
10,2132,27,>=200,critical/other existing credit,other,>=1000,4<=X<7,2,male div/sep,co applicant,3,real estate,none,rent,2,unemp/unskilled non res,2,none,no,good
12,2366,36,no checking,delayed previously,other,>=1000,4<=X<7,2,male div/sep,co applicant,3,car,bank,own,3,high qualif/self emp/mgmt,2,yes,no,good
24,3868,41,no checking,critical/other existing credit,used car,>=1000,unemployed,1,female div/dep/mar,co applicant,4,car,stores,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
10,781,63,>=200,critical/other existing credit,education,<100,>=7,3,male single,co applicant,4,no known property,none,for free,3,high qualif/self emp/mgmt,2,yes,no,good
12,701,40,>=200,existing paid,retraining,500<=X<1000,1<=X<4,3,male mar/wid,guarantor,2,real estate,stores,own,1,unskilled resident,1,none,no,good
12,1860,34,no checking,delayed previously,other,no known savings,unemployed,4,male single,co applicant,2,car,stores,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
48,8487,24,0<=X<200,existing paid,domestic appliance,no known savings,4<=X<7,1,female div/dep/mar,guarantor,1,car,none,rent,4,unemp/unskilled non res,1,none,no,good
36,6887,29,<0,all paid,domestic appliance,>=1000,1<=X<4,4,male div/sep,none,2,no known property,stores,for free,4,high qualif/self emp/mgmt,2,yes,yes,bad
15,2708,27,<0,all paid,retraining,>=1000,4<=X<7,2,male div/sep,none,3,life insurance,bank,own,3,unskilled resident,2,none,yes,good
27,3416,27,<0,existing paid,domestic appliance,<100,unemployed,3,male mar/wid,co applicant,2,car,stores,own,1,high qualif/self emp/mgmt,1,yes,no,bad
18,2462,22,<0,existing paid,domestic appliance,500<=X<1000,1<=X<4,2,male div/sep,co applicant,2,life insurance,none,own,1,skilled,1,none,yes,bad
48,3566,30,0<=X<200,all paid,business,100<=X<500,4<=X<7,2,male mar/wid,guarantor,3,car,bank,own,4,skilled,2,yes,yes,bad
6,860,39,<0,critical/other existing credit,used car,<100,>=7,1,female div/dep/mar,co applicant,4,no known property,bank,for free,3,unemp/unskilled non res,1,yes,no,bad
12,682,51,no checking,critical/other existing credit,domestic appliance,100<=X<500,4<=X<7,2,male mar/wid,co applicant,3,car,none,rent,4,skilled,1,yes,no,good
36,5371,28,<0,critical/other existing credit,repairs,<100,1<=X<4,3,male div/sep,guarantor,4,life insurance,none,own,2,unskilled resident,2,none,no,good
6,1346,42,>=200,all paid,education,100<=X<500,>=7,3,male single,guarantor,4,no known property,bank,for free,4,high qualif/self emp/mgmt,2,yes,no,good
36,5848,24,>=200,existing paid,radio/tv,<100,<1,2,male mar/wid,co applicant,1,car,none,own,1,skilled,1,none,no,good
24,7758,29,no checking,critical/other existing credit,education,>=1000,unemployed,1,female div/dep/mar,co applicant,4,no known property,none,for free,4,unemp/unskilled non res,1,yes,yes,good
6,1898,34,no checking,critical/other existing credit,repairs,>=1000,1<=X<4,1,male single,guarantor,2,real estate,stores,own,2,unskilled resident,2,none,no,good
18,1055,30,no checking,critical/other existing credit,domestic appliance,>=1000,<1,4,female div/dep/mar,none,1,life insurance,none,own,2,unemp/unskilled non res,1,none,yes,bad
10,7308,70,0<=X<200,all paid,other,no known savings,unemployed,2,male div/sep,co applicant,4,no known property,bank,for free,3,unemp/unskilled non res,2,yes,yes,bad
36,908.999999999999,36,>=200,existing paid,retraining,500<=X<1000,>=7,4,male single,none,4,life insurance,none,own,3,skilled,2,none,no,good
24,1935,31,0<=X<200,no credits/all paid,business,<100,>=7,2,male div/sep,co applicant,1,car,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
12,763,26,>=200,existing paid,furniture/equipment,>=1000,<1,1,male div/sep,none,1,real estate,stores,own,1,skilled,1,yes,yes,good
8,1414,33,>=200,existing paid,repairs,100<=X<500,1<=X<4,1,male mar/wid,guarantor,2,real estate,none,own,1,unskilled resident,2,none,no,good
9,5129,74,<0,all paid,other,<100,unemployed,1,male div/sep,none,4,no known property,bank,for free,3,high qualif/self emp/mgmt,2,yes,yes,bad
12,674,20,0<=X<200,existing paid,domestic appliance,100<=X<500,<1,4,male mar/wid,guarantor,3,life insurance,none,own,4,skilled,1,none,yes,bad
48,3844,34,0<=X<200,no credits/all paid,retraining,100<=X<500,>=7,2,male single,none,4,no known property,bank,for free,4,unskilled resident,2,yes,no,bad
27,3915,36,0<=X<200,no credits/all paid,business,100<=X<500,1<=X<4,4,male single,none,2,car,stores,own,4,high qualif/self emp/mgmt,2,yes,yes,bad
45,3031,21,0<=X<200,existing paid,repairs,100<=X<500,1<=X<4,4,female div/dep/mar,guarantor,4,real estate,bank,rent,4,unskilled resident,1,none,no,bad
18,4297,40,0<=X<200,delayed previously,other,<100,unemployed,2,male div/sep,co applicant,1,no known property,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
12,1168,27,<0,all paid,retraining,<100,4<=X<7,3,male mar/wid,guarantor,3,real estate,none,own,1,unskilled resident,1,none,no,bad
12,1495,38,no checking,critical/other existing credit,retraining,>=1000,<1,4,male single,guarantor,1,real estate,stores,own,3,unskilled resident,2,none,no,good
9,3074,33,no checking,critical/other existing credit,repairs,>=1000,1<=X<4,1,male single,guarantor,2,real estate,bank,own,2,unemp/unskilled non res,2,none,no,good
36,3835,45,>=200,existing paid,retraining,no known savings,>=7,1,female div/dep/mar,guarantor,4,real estate,none,rent,1,unskilled resident,1,yes,no,good
