checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
>=200,66,delayed previously,used car,14996,100<=X<500,4<=X<7,1,female div/dep/mar,none,4,car,69,none,for free,1,skilled,1,yes,yes,good
0<=X<200,36,critical/other existing credit,domestic appliance,351,no known savings,4<=X<7,4,male single,none,2,no known property,36,none,own,2,unskilled resident,1,none,yes,bad
>=200,9,all paid,new car,8595,<100,4<=X<7,1,male mar/wid,guarantor,2,no known property,21,bank,rent,1,unskilled resident,2,none,no,good
0<=X<200,8,all paid,new car,8060,500<=X<1000,4<=X<7,2,male mar/wid,guarantor,2,life insurance,29,bank,rent,1,unskilled resident,2,none,yes,good
0<=X<200,24,no credits/all paid,furniture/equipment,1785,no known savings,4<=X<7,1,male single,none,4,car,21,none,rent,4,unemp/unskilled non res,1,none,no,good
>=200,69,delayed previously,retraining,14452,no known savings,4<=X<7,2,female div/dep/mar,guarantor,4,no known property,22,none,for free,1,unemp/unskilled non res,1,yes,no,good
0<=X<200,12,existing paid,education,2456,no known savings,1<=X<4,2,male mar/wid,guarantor,4,no known property,73,stores,rent,3,unskilled resident,1,yes,no,good
>=200,40,critical/other existing credit,used car,3221,500<=X<1000,1<=X<4,2,male single,guarantor,1,no known property,52,stores,rent,3,unskilled resident,1,none,yes,good
0<=X<200,19,existing paid,retraining,289,>=1000,1<=X<4,1,male single,guarantor,1,no known property,36,none,rent,3,unskilled resident,2,none,yes,good
0<=X<200,18,no credits/all paid,retraining,13652,>=1000,4<=X<7,2,male mar/wid,guarantor,1,no known property,22,bank,rent,2,unemp/unskilled non res,1,yes,no,bad
0<=X<200,49,critical/other existing credit,domestic appliance,2469,no known savings,<1,4,female div/dep/mar,none,4,car,57,stores,rent,1,skilled,2,yes,yes,good
<0,5,critical/other existing credit,retraining,1499,<100,>=7,3,male single,guarantor,2,no known property,19,stores,rent,2,skilled,1,yes,no,bad
>=200,4,all paid,other,342,<100,4<=X<7,4,male mar/wid,none,3,no known property,61,stores,rent,3,skilled,1,none,no,good
<0,35,critical/other existing credit,furniture/equipment,4109,500<=X<1000,4<=X<7,1,male single,guarantor,1,car,36,none,for free,1,unemp/unskilled non res,1,none,yes,good
<0,5,no credits/all paid,retraining,2352,no known savings,<1,3,male mar/wid,guarantor,1,life insurance,55,bank,rent,1,unskilled resident,1,yes,no,good
0<=X<200,10,critical/other existing credit,furniture/equipment,1997,<100,<1,1,male div/sep,none,3,real estate,24,bank,rent,4,unskilled resident,1,none,no,bad
>=200,13,existing paid,business,6044,<100,1<=X<4,3,male div/sep,guarantor,1,no known property,37,bank,rent,1,unemp/unskilled non res,1,none,no,good
>=200,4,delayed previously,business,533,100<=X<500,<1,3,female div/dep/mar,guarantor,2,no known property,64,none,rent,2,unskilled resident,1,yes,yes,bad
>=200,33,delayed previously,radio/tv,8207,500<=X<1000,1<=X<4,4,male div/sep,guarantor,2,no known property,29,stores,rent,1,skilled,2,yes,no,good
0<=X<200,4,no credits/all paid,domestic appliance,3018,500<=X<1000,4<=X<7,2,male single,guarantor,4,no known property,67,none,rent,3,skilled,1,yes,no,good
no checking,21,all paid,other,12800,no known savings,4<=X<7,2,male single,none,1,no known property,25,stores,own,1,skilled,1,none,no,good
>=200,49,delayed previously,education,11765,no known savings,4<=X<7,4,male single,guarantor,4,no known property,65,none,for free,1,unemp/unskilled non res,1,yes,no,bad
