checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,23,existing paid,business,9766,500<=X<1000,<1,2,male div/sep,none,2,real estate,50,stores,rent,4,unemp/unskilled non res,1,none,yes,good
<0,39,existing paid,repairs,1730,no known savings,unemployed,3,male mar/wid,guarantor,4,no known property,41,bank,for free,1,unskilled resident,2,none,yes,bad
0<=X<200,16,all paid,retraining,9874,>=1000,unemployed,1,male mar/wid,none,1,life insurance,33,stores,own,1,unskilled resident,2,yes,no,bad
0<=X<200,4,existing paid,repairs,9718,>=1000,<1,1,male div/sep,none,1,car,20,stores,own,1,high qualif/self emp/mgmt,1,yes,no,bad
0<=X<200,55,all paid,repairs,1120,100<=X<500,<1,1,male div/sep,none,4,car,22,stores,for free,1,unskilled resident,1,yes,no,bad
<0,43,all paid,retraining,3894,>=1000,unemployed,2,female div/dep/mar,co applicant,2,real estate,53,stores,own,1,unskilled resident,2,none,yes,bad
>=200,25,delayed previously,business,9761,500<=X<1000,unemployed,4,male mar/wid,none,1,real estate,28,stores,rent,3,high qualif/self emp/mgmt,1,none,yes,bad
<0,4,no credits/all paid,radio/tv,660,>=1000,unemployed,4,female div/dep/mar,guarantor,4,car,36,stores,own,1,unskilled resident,2,yes,no,good
>=200,26,all paid,radio/tv,3850,no known savings,1<=X<4,4,male div/sep,guarantor,1,car,35,stores,for free,2,high qualif/self emp/mgmt,1,none,no,good
<0,11,no credits/all paid,repairs,287,>=1000,1<=X<4,2,male div/sep,none,4,real estate,36,stores,for free,1,high qualif/self emp/mgmt,2,yes,no,good
<0,29,delayed previously,radio/tv,1302,500<=X<1000,<1,2,female div/dep/mar,co applicant,4,car,50,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
>=200,12,delayed previously,radio/tv,1185,no known savings,1<=X<4,3,male div/sep,guarantor,2,car,33,bank,own,3,unskilled resident,2,yes,yes,good
no checking,55,existing paid,education,1244,no known savings,<1,4,male div/sep,guarantor,2,real estate,48,bank,own,3,unemp/unskilled non res,1,yes,yes,bad
>=200,49,all paid,repairs,3810,no known savings,>=7,3,male single,none,1,car,33,stores,own,3,high qualif/self emp/mgmt,2,yes,yes,bad
<0,11,all paid,business,1232,>=1000,unemployed,2,male div/sep,guarantor,1,real estate,26,stores,rent,4,high qualif/self emp/mgmt,1,none,no,good
0<=X<200,13,delayed previously,repairs,683,no known savings,<1,1,male div/sep,guarantor,2,car,36,bank,for free,4,high qualif/self emp/mgmt,1,yes,yes,good
<0,6,delayed previously,repairs,2234,no known savings,<1,4,female div/dep/mar,none,2,no known property,21,bank,for free,3,unskilled resident,1,yes,no,good
<0,4,existing paid,new car,16063,500<=X<1000,1<=X<4,3,male div/sep,none,3,real estate,24,stores,for free,2,unemp/unskilled non res,1,yes,yes,bad
>=200,11,delayed previously,education,253,500<=X<1000,1<=X<4,1,male div/sep,none,2,car,36,stores,for free,2,high qualif/self emp/mgmt,2,none,no,bad
