checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,15,all paid,repairs,1256,100<=X<500,4<=X<7,4,male mar/wid,co applicant,1,car,31,stores,rent,1,high qualif/self emp/mgmt,1,none,yes,good
<0,58,all paid,domestic appliance,12757,>=1000,unemployed,2,male mar/wid,co applicant,4,real estate,38,stores,for free,4,skilled,1,yes,no,bad
>=200,8,all paid,used car,4189,no known savings,4<=X<7,2,female div/dep/mar,none,2,life insurance,41,none,own,1,unskilled resident,1,none,no,good
0<=X<200,17,existing paid,business,1120,no known savings,<1,4,male mar/wid,none,1,life insurance,19,none,for free,2,skilled,2,yes,yes,bad
>=200,49,existing paid,repairs,4299,500<=X<1000,1<=X<4,3,female div/dep/mar,none,4,car,26,stores,for free,3,skilled,2,yes,no,bad
<0,22,delayed previously,domestic appliance,6288,100<=X<500,4<=X<7,1,male mar/wid,co applicant,1,car,30,none,own,1,high qualif/self emp/mgmt,2,none,no,good
>=200,11,delayed previously,business,1327,no known savings,>=7,2,female div/dep/mar,none,2,life insurance,45,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good
0<=X<200,66,existing paid,radio/tv,1569,100<=X<500,4<=X<7,2,female div/dep/mar,none,3,life insurance,36,none,rent,2,skilled,2,yes,no,good
0<=X<200,64,delayed previously,business,2275,100<=X<500,1<=X<4,2,male mar/wid,co applicant,4,real estate,21,stores,rent,1,skilled,2,none,no,good
>=200,6,delayed previously,new car,1489,no known savings,>=7,4,female div/dep/mar,guarantor,4,real estate,44,none,rent,2,unemp/unskilled non res,2,none,yes,good
no checking,10,no credits/all paid,business,1652,500<=X<1000,4<=X<7,1,female div/dep/mar,guarantor,3,life insurance,22,none,rent,1,unskilled resident,2,yes,yes,bad
no checking,6,delayed previously,retraining,1281,500<=X<1000,<1,1,female div/dep/mar,co applicant,3,real estate,38,stores,rent,1,unemp/unskilled non res,2,none,yes,good
0<=X<200,10,delayed previously,repairs,2501,100<=X<500,>=7,1,female div/dep/mar,none,2,car,39,stores,for free,1,unemp/unskilled non res,2,none,no,bad
<0,7,existing paid,domestic appliance,1261,500<=X<1000,>=7,1,female div/dep/mar,guarantor,1,car,21,none,rent,4,unskilled resident,1,none,no,good
no checking,6,all paid,domestic appliance,1222,500<=X<1000,1<=X<4,1,male mar/wid,co applicant,1,real estate,30,none,for free,3,unemp/unskilled non res,1,yes,no,good
0<=X<200,21,all paid,used car,2277,no known savings,<1,2,female div/dep/mar,none,4,real estate,22,stores,rent,1,unskilled resident,2,none,no,good
<0,9,critical/other existing credit,retraining,317,500<=X<1000,>=7,2,female div/dep/mar,none,4,car,56,none,own,2,unemp/unskilled non res,1,yes,no,good
<0,23,all paid,domestic appliance,1356,500<=X<1000,>=7,4,female div/dep/mar,none,4,real estate,22,none,for free,1,unskilled resident,2,none,no,good
0<=X<200,69,existing paid,radio/tv,1514,no known savings,4<=X<7,4,male mar/wid,co applicant,2,real estate,19,stores,rent,3,unskilled resident,2,none,no,good
0<=X<200,8,existing paid,repairs,649,100<=X<500,unemployed,4,female div/dep/mar,co applicant,4,real estate,55,none,for free,3,unskilled resident,1,none,no,good
<0,9,no credits/all paid,repairs,3695,no known savings,4<=X<7,2,female div/dep/mar,co applicant,4,real estate,65,none,rent,2,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,66,delayed previously,used car,5032,no known savings,1<=X<4,2,male div/sep,guarantor,1,no known property,22,stores,rent,1,skilled,1,none,no,good
