checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,27,existing paid,used car,3928,no known savings,1<=X<4,2,male mar/wid,guarantor,4,no known property,43,none,own,1,high qualif/self emp/mgmt,1,yes,no,good
0<=X<200,19,no credits/all paid,radio/tv,7837,no known savings,1<=X<4,2,female div/dep/mar,co applicant,3,car,28,stores,for free,1,high qualif/self emp/mgmt,2,yes,no,good
0<=X<200,6,existing paid,business,7450,500<=X<1000,<1,4,male mar/wid,guarantor,1,real estate,20,stores,own,1,high qualif/self emp/mgmt,1,none,no,good
<0,14,existing paid,new car,1385,<100,1<=X<4,3,male mar/wid,guarantor,2,real estate,26,stores,own,1,unskilled resident,1,none,no,bad
>=200,9,critical/other existing credit,used car,1397,500<=X<1000,unemployed,4,male mar/wid,none,2,real estate,73,bank,for free,3,unskilled resident,1,none,no,bad
>=200,47,no credits/all paid,other,1903,500<=X<1000,<1,4,male div/sep,none,2,real estate,28,stores,own,1,high qualif/self emp/mgmt,1,yes,no,bad
0<=X<200,67,existing paid,education,18410,no known savings,<1,1,female div/dep/mar,none,4,car,26,bank,for free,1,unskilled resident,1,none,no,bad
0<=X<200,26,no credits/all paid,used car,2498,no known savings,>=7,4,male mar/wid,none,2,no known property,52,none,for free,3,unemp/unskilled non res,2,yes,no,good
<0,4,all paid,retraining,2151,no known savings,<1,4,female div/dep/mar,guarantor,2,real estate,70,bank,own,1,high qualif/self emp/mgmt,1,yes,no,bad
<0,11,no credits/all paid,new car,288,<100,unemployed,1,male mar/wid,guarantor,4,car,36,bank,rent,2,unskilled resident,2,yes,no,good
>=200,13,all paid,radio/tv,1367,100<=X<500,1<=X<4,4,female div/dep/mar,co applicant,4,car,71,stores,own,2,high qualif/self emp/mgmt,1,none,no,good
<0,12,existing paid,retraining,1379,no known savings,unemployed,3,male div/sep,guarantor,2,car,24,stores,rent,1,unskilled resident,2,yes,no,bad
>=200,6,all paid,business,1237,>=1000,<1,2,female div/dep/mar,guarantor,4,real estate,36,stores,own,1,high qualif/self emp/mgmt,2,none,no,bad
<0,41,existing paid,education,17171,no known savings,<1,1,female div/dep/mar,none,4,life insurance,26,stores,own,1,high qualif/self emp/mgmt,1,none,no,bad
<0,22,all paid,radio/tv,672,>=1000,<1,1,female div/dep/mar,none,4,car,36,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,4,existing paid,other,334,no known savings,>=7,1,male mar/wid,guarantor,1,no known property,24,stores,rent,1,unskilled resident,2,none,yes,good
>=200,4,existing paid,business,310,500<=X<1000,<1,2,male div/sep,none,4,car,67,bank,for free,2,unskilled resident,2,yes,no,bad
<0,39,existing paid,education,9779,no known savings,<1,1,female div/dep/mar,none,4,life insurance,25,stores,own,1,high qualif/self emp/mgmt,1,none,no,bad
no checking,4,critical/other existing credit,used car,354,>=1000,<1,1,female div/dep/mar,none,4,real estate,60,none,own,2,unemp/unskilled non res,1,none,no,good
no checking,46,all paid,furniture/equipment,1281,no known savings,4<=X<7,2,male mar/wid,co applicant,2,life insurance,64,bank,own,1,high qualif/self emp/mgmt,2,yes,yes,bad
0<=X<200,11,existing paid,business,683,no known savings,<1,4,male single,guarantor,1,real estate,26,stores,own,1,skilled,1,none,no,good
<0,38,existing paid,education,16953,no known savings,<1,1,female div/dep/mar,none,4,life insurance,26,stores,own,1,high qualif/self emp/mgmt,1,none,no,bad
0<=X<200,65,no credits/all paid,education,16497,no known savings,<1,1,female div/dep/mar,co applicant,2,car,27,bank,for free,3,unskilled resident,1,none,no,bad
0<=X<200,8,critical/other existing credit,education,292,500<=X<1000,<1,4,male mar/wid,co applicant,1,no known property,27,bank,for free,4,unemp/unskilled non res,1,yes,no,good
0<=X<200,4,existing paid,used car,1048,no known savings,>=7,4,male div/sep,guarantor,2,car,48,stores,for free,1,unskilled resident,1,yes,yes,good
no checking,4,critical/other existing credit,used car,772,<100,1<=X<4,4,male mar/wid,none,2,real estate,28,stores,for free,2,unemp/unskilled non res,2,none,no,good
<0,46,delayed previously,used car,1419,no known savings,1<=X<4,4,male mar/wid,guarantor,2,life insurance,64,bank,own,1,unskilled resident,1,yes,no,bad
0<=X<200,27,no credits/all paid,business,863,<100,>=7,4,male div/sep,co applicant,2,car,48,stores,for free,3,unskilled resident,2,none,no,good
<0,71,existing paid,used car,8641,<100,<1,4,male div/sep,guarantor,3,car,26,stores,rent,2,high qualif/self emp/mgmt,2,none,no,good
0<=X<200,49,no credits/all paid,furniture/equipment,17700,no known savings,1<=X<4,2,female div/dep/mar,none,2,car,26,bank,for free,2,high qualif/self emp/mgmt,1,none,no,good
no checking,4,critical/other existing credit,business,267,<100,<1,4,female div/dep/mar,none,4,real estate,36,stores,own,2,skilled,1,yes,no,good
0<=X<200,4,no credits/all paid,used car,7806,no known savings,1<=X<4,2,female div/dep/mar,none,2,car,65,bank,rent,1,high qualif/self emp/mgmt,1,none,no,good
0<=X<200,29,all paid,new car,4751,no known savings,1<=X<4,1,male mar/wid,none,2,no known property,39,bank,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
>=200,16,all paid,new car,3215,<100,unemployed,4,male mar/wid,guarantor,2,no known property,68,bank,for free,3,high qualif/self emp/mgmt,2,none,no,bad
0<=X<200,4,existing paid,new car,8357,<100,unemployed,2,male div/sep,none,2,real estate,53,bank,for free,1,unemp/unskilled non res,2,yes,no,bad
>=200,30,no credits/all paid,new car,1479,<100,unemployed,4,male mar/wid,none,1,no known property,50,none,for free,3,unemp/unskilled non res,2,none,no,good
0<=X<200,11,existing paid,business,683,no known savings,<1,4,male single,guarantor,1,real estate,26,stores,own,1,unemp/unskilled non res,1,none,no,good
<0,13,all paid,radio/tv,6585,500<=X<1000,1<=X<4,2,male mar/wid,co applicant,4,real estate,47,bank,rent,2,high qualif/self emp/mgmt,1,none,no,good
>=200,4,all paid,used car,341,<100,<1,4,female div/dep/mar,guarantor,4,real estate,29,bank,for free,1,unskilled resident,2,none,no,good
0<=X<200,4,critical/other existing credit,repairs,324,no known savings,1<=X<4,2,female div/dep/mar,none,2,no known property,53,stores,for free,2,unemp/unskilled non res,2,yes,no,bad
<0,9,all paid,new car,909,no known savings,unemployed,4,male mar/wid,none,2,real estate,29,stores,for free,2,unskilled resident,1,none,yes,good
no checking,22,delayed previously,retraining,379,no known savings,<1,1,female div/dep/mar,none,2,real estate,36,none,for free,3,unskilled resident,2,none,no,good
<0,26,existing paid,business,1493,>=1000,<1,4,male div/sep,none,2,car,33,stores,own,1,high qualif/self emp/mgmt,2,yes,no,good
>=200,13,existing paid,new car,299,no known savings,4<=X<7,2,male mar/wid,none,4,car,68,bank,rent,3,unskilled resident,2,yes,yes,bad
>=200,4,no credits/all paid,used car,289,500<=X<1000,unemployed,2,male mar/wid,none,4,car,36,bank,for free,1,unskilled resident,2,yes,no,bad
<0,38,existing paid,education,17388,no known savings,<1,1,female div/dep/mar,none,4,life insurance,25,stores,own,1,high qualif/self emp/mgmt,1,none,no,bad
>=200,4,delayed previously,repairs,4075,500<=X<1000,1<=X<4,1,male mar/wid,none,2,car,50,stores,for free,2,unskilled resident,2,yes,no,bad
0<=X<200,62,existing paid,education,17672,no known savings,<1,1,female div/dep/mar,none,4,car,26,stores,for free,1,unskilled resident,1,none,no,bad
no checking,12,existing paid,radio/tv,8372,<100,<1,2,male div/sep,guarantor,1,no known property,20,stores,rent,1,unemp/unskilled non res,1,yes,no,bad
no checking,4,existing paid,education,1519,no known savings,1<=X<4,4,male mar/wid,none,1,real estate,24,stores,rent,1,unemp/unskilled non res,1,none,yes,good
0<=X<200,12,existing paid,business,1304,>=1000,<1,4,male mar/wid,none,2,car,39,stores,for free,3,unskilled resident,2,yes,no,good
>=200,14,all paid,used car,1390,>=1000,unemployed,4,female div/dep/mar,guarantor,2,no known property,74,bank,for free,1,unskilled resident,2,none,no,bad
<0,41,existing paid,education,17739,no known savings,<1,1,female div/dep/mar,co applicant,2,life insurance,26,bank,for free,1,unskilled resident,1,none,no,bad
<0,24,all paid,radio/tv,1370,>=1000,unemployed,4,male div/sep,none,4,car,48,stores,own,2,unskilled resident,1,none,yes,good
<0,10,existing paid,domestic appliance,2688,500<=X<1000,unemployed,2,female div/dep/mar,guarantor,1,real estate,35,bank,own,4,unskilled resident,2,yes,no,good
<0,4,existing paid,business,807,no known savings,<1,3,female div/dep/mar,none,2,car,27,stores,own,1,high qualif/self emp/mgmt,2,yes,no,bad
>=200,40,existing paid,business,8467,no known savings,unemployed,1,male single,guarantor,2,car,21,stores,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,4,delayed previously,new car,9638,100<=X<500,<1,4,male div/sep,none,1,real estate,24,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,4,critical/other existing credit,used car,1304,>=1000,1<=X<4,4,male mar/wid,guarantor,4,no known property,74,bank,for free,1,unskilled resident,2,none,no,bad
<0,11,existing paid,business,1273,100<=X<500,unemployed,2,male mar/wid,none,4,car,45,stores,rent,2,unskilled resident,2,none,no,good
<0,71,all paid,education,379,no known savings,<1,4,male div/sep,co applicant,2,real estate,49,bank,own,4,unemp/unskilled non res,1,yes,yes,bad
0<=X<200,4,all paid,radio/tv,1195,no known savings,1<=X<4,1,male mar/wid,none,2,real estate,47,bank,for free,1,unskilled resident,2,none,no,bad
>=200,12,critical/other existing credit,retraining,2190,100<=X<500,1<=X<4,4,female div/dep/mar,co applicant,4,no known property,70,bank,own,1,high qualif/self emp/mgmt,1,none,no,good
0<=X<200,4,existing paid,new car,9660,500<=X<1000,<1,4,male mar/wid,none,1,real estate,20,stores,own,1,unemp/unskilled non res,1,none,no,good
