checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,5,all paid,furniture/equipment,5313,<100,unemployed,3,male div/sep,guarantor,1,real estate,64,stores,rent,2,unemp/unskilled non res,2,none,yes,good
>=200,19,critical/other existing credit,other,1626,>=1000,>=7,4,male div/sep,none,3,real estate,59,bank,rent,1,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,52,critical/other existing credit,radio/tv,13280,<100,4<=X<7,2,male mar/wid,guarantor,3,life insurance,69,stores,rent,2,unskilled resident,1,yes,no,bad
0<=X<200,5,no credits/all paid,education,2228,<100,unemployed,2,male mar/wid,guarantor,4,no known property,37,bank,rent,1,unemp/unskilled non res,1,none,no,bad
no checking,58,all paid,radio/tv,2004,<100,4<=X<7,2,male div/sep,guarantor,1,no known property,73,stores,rent,2,unemp/unskilled non res,1,yes,no,bad
0<=X<200,55,no credits/all paid,retraining,3741,no known savings,4<=X<7,3,female div/dep/mar,co applicant,4,real estate,22,bank,for free,1,unemp/unskilled non res,1,yes,no,good
>=200,11,critical/other existing credit,education,2090,<100,<1,1,male single,co applicant,2,life insurance,22,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
<0,7,all paid,radio/tv,1342,no known savings,>=7,4,male mar/wid,none,1,real estate,22,bank,rent,1,unskilled resident,2,none,yes,bad
0<=X<200,20,no credits/all paid,furniture/equipment,1794,<100,unemployed,4,male single,none,3,car,30,none,rent,4,unemp/unskilled non res,2,none,yes,bad
<0,7,no credits/all paid,other,17940,<100,>=7,1,female div/dep/mar,guarantor,1,car,29,none,rent,2,unemp/unskilled non res,1,yes,no,bad
no checking,20,critical/other existing credit,education,14951,<100,>=7,2,male single,none,4,no known property,74,stores,for free,2,high qualif/self emp/mgmt,2,none,no,good
>=200,60,existing paid,retraining,307,>=1000,unemployed,2,male single,guarantor,2,real estate,36,bank,rent,4,unskilled resident,1,yes,no,good
0<=X<200,58,all paid,new car,1091,<100,>=7,3,female div/dep/mar,none,2,car,64,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
>=200,22,all paid,radio/tv,2099,500<=X<1000,unemployed,4,male single,none,2,car,41,bank,rent,2,skilled,1,none,no,good
no checking,22,critical/other existing credit,other,258,>=1000,unemployed,4,male single,none,2,car,71,stores,rent,2,unskilled resident,2,none,yes,good
0<=X<200,5,no credits/all paid,education,16821,>=1000,>=7,2,male div/sep,guarantor,4,life insurance,34,none,for free,1,high qualif/self emp/mgmt,2,yes,yes,bad
no checking,57,existing paid,education,6950,<100,>=7,3,male single,none,4,life insurance,42,bank,rent,1,unemp/unskilled non res,2,none,yes,good
>=200,55,delayed previously,furniture/equipment,13393,no known savings,unemployed,2,female div/dep/mar,none,3,car,36,bank,rent,1,unemp/unskilled non res,1,none,yes,bad
0<=X<200,6,all paid,other,14370,no known savings,unemployed,4,female div/dep/mar,guarantor,4,car,20,bank,for free,2,unskilled resident,1,yes,no,good
0<=X<200,20,all paid,furniture/equipment,1794,<100,unemployed,4,male mar/wid,none,3,car,64,none,rent,2,unemp/unskilled non res,1,none,yes,good
>=200,20,delayed previously,retraining,1746,no known savings,>=7,4,female div/dep/mar,none,2,car,21,bank,rent,1,high qualif/self emp/mgmt,2,none,yes,bad
0<=X<200,9,no credits/all paid,retraining,372,<100,unemployed,2,male single,guarantor,3,car,21,bank,rent,4,unemp/unskilled non res,1,yes,yes,good
no checking,30,delayed previously,other,1048,no known savings,1<=X<4,1,male single,co applicant,3,car,24,stores,rent,1,high qualif/self emp/mgmt,2,none,yes,good
no checking,16,no credits/all paid,retraining,791,no known savings,unemployed,4,male mar/wid,co applicant,3,no known property,30,stores,rent,1,skilled,1,none,no,good
>=200,37,existing paid,retraining,1860,<100,unemployed,4,female div/dep/mar,none,3,car,22,stores,rent,1,high qualif/self emp/mgmt,1,yes,no,bad
no checking,23,delayed previously,repairs,4491,<100,>=7,4,male mar/wid,none,4,no known property,73,none,for free,2,unskilled resident,1,none,yes,good
0<=X<200,14,delayed previously,retraining,6633,no known savings,unemployed,4,male mar/wid,co applicant,4,real estate,27,bank,for free,1,skilled,2,yes,no,good
no checking,59,no credits/all paid,new car,14370,100<=X<500,<1,1,male single,co applicant,1,real estate,29,none,own,1,unskilled resident,1,yes,no,bad
0<=X<200,29,critical/other existing credit,radio/tv,12758,<100,<1,2,male mar/wid,none,3,life insurance,74,stores,rent,2,unskilled resident,1,yes,yes,bad
0<=X<200,51,delayed previously,other,8015,500<=X<1000,4<=X<7,1,male mar/wid,guarantor,2,real estate,21,stores,rent,4,high qualif/self emp/mgmt,2,yes,no,good
no checking,19,no credits/all paid,retraining,1818,<100,unemployed,4,male mar/wid,none,2,car,21,bank,rent,1,high qualif/self emp/mgmt,1,none,yes,bad
>=200,46,existing paid,repairs,9111,<100,>=7,4,male single,co applicant,4,no known property,37,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,27,no credits/all paid,other,1541,500<=X<1000,4<=X<7,2,male mar/wid,none,4,car,52,bank,rent,1,unskilled resident,1,none,no,bad
no checking,35,delayed previously,retraining,2108,<100,>=7,4,male single,none,1,car,65,none,rent,1,unskilled resident,1,none,yes,bad
no checking,12,delayed previously,education,1826,<100,unemployed,4,male div/sep,guarantor,2,real estate,65,none,rent,2,unemp/unskilled non res,1,none,yes,good
0<=X<200,20,no credits/all paid,other,1640,<100,4<=X<7,4,male mar/wid,guarantor,2,car,22,bank,rent,4,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,16,critical/other existing credit,education,1438,>=1000,unemployed,2,female div/dep/mar,co applicant,2,real estate,53,bank,rent,1,high qualif/self emp/mgmt,1,none,yes,bad
no checking,54,no credits/all paid,retraining,1166,<100,>=7,3,male single,none,4,real estate,32,stores,rent,1,unskilled resident,1,yes,no,good
<0,10,critical/other existing credit,other,15174,<100,1<=X<4,4,male single,guarantor,2,car,27,stores,for free,3,unemp/unskilled non res,1,none,yes,bad
no checking,6,delayed previously,education,3463,>=1000,>=7,2,male single,guarantor,1,no known property,21,none,rent,2,unskilled resident,1,none,yes,good
>=200,58,delayed previously,radio/tv,7224,<100,<1,4,male single,co applicant,2,car,27,stores,for free,4,skilled,1,yes,yes,bad
no checking,57,all paid,other,706,100<=X<500,>=7,1,female div/dep/mar,none,2,no known property,22,none,for free,1,unskilled resident,2,none,no,bad
no checking,21,existing paid,new car,3289,<100,<1,2,male single,none,1,no known property,22,none,for free,1,high qualif/self emp/mgmt,1,none,no,good
0<=X<200,6,critical/other existing credit,education,6281,<100,4<=X<7,1,female div/dep/mar,co applicant,3,real estate,35,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
>=200,24,no credits/all paid,retraining,4032,500<=X<1000,unemployed,2,male single,none,1,real estate,20,none,for free,1,unskilled resident,2,yes,yes,bad
<0,6,critical/other existing credit,education,1392,>=1000,4<=X<7,4,male single,guarantor,1,life insurance,21,bank,rent,4,unskilled resident,2,yes,no,good
no checking,59,critical/other existing credit,other,1400,100<=X<500,4<=X<7,4,male single,guarantor,1,car,70,stores,rent,4,unskilled resident,2,yes,yes,good
