checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,43,no credits/all paid,used car,4267,100<=X<500,>=7,1,male mar/wid,guarantor,1,car,24,bank,for free,3,unemp/unskilled non res,1,none,yes,good
0<=X<200,26,critical/other existing credit,retraining,5684,100<=X<500,>=7,1,male div/sep,co applicant,1,no known property,19,none,for free,4,unskilled resident,2,none,yes,bad
0<=X<200,11,no credits/all paid,used car,14062,<100,unemployed,2,male div/sep,co applicant,4,no known property,72,bank,rent,2,unskilled resident,1,yes,no,bad
no checking,42,all paid,other,3054,>=1000,4<=X<7,4,female div/dep/mar,none,4,real estate,30,none,rent,4,skilled,1,yes,no,good
>=200,4,existing paid,retraining,669,<100,>=7,3,male single,co applicant,3,car,54,bank,rent,2,unskilled resident,1,yes,yes,bad
no checking,5,critical/other existing credit,education,1592,>=1000,>=7,4,male single,none,4,car,63,none,own,2,unskilled resident,1,yes,no,good
<0,8,all paid,domestic appliance,882,<100,4<=X<7,3,male div/sep,co applicant,2,car,20,stores,rent,4,unskilled resident,2,yes,yes,good
0<=X<200,4,critical/other existing credit,education,2637,<100,>=7,1,male div/sep,none,2,real estate,38,bank,rent,2,unskilled resident,1,none,no,bad
no checking,4,no credits/all paid,repairs,3648,>=1000,4<=X<7,4,female div/dep/mar,none,1,life insurance,25,none,own,4,skilled,1,yes,no,good
>=200,8,existing paid,education,1557,>=1000,1<=X<4,4,male div/sep,none,4,real estate,61,none,rent,4,skilled,1,yes,no,good
0<=X<200,66,delayed previously,other,12315,100<=X<500,unemployed,2,male single,none,4,no known property,54,stores,own,2,skilled,2,yes,yes,bad
no checking,37,all paid,education,3133,>=1000,4<=X<7,4,female div/dep/mar,none,1,real estate,20,stores,own,2,unemp/unskilled non res,2,none,yes,good
<0,25,all paid,business,6315,<100,unemployed,4,male mar/wid,guarantor,2,life insurance,33,none,for free,1,unskilled resident,2,none,yes,bad
no checking,56,all paid,education,955,100<=X<500,4<=X<7,4,female div/dep/mar,none,4,real estate,36,none,own,2,unskilled resident,2,none,yes,good
0<=X<200,12,existing paid,retraining,739,<100,unemployed,4,female div/dep/mar,none,4,real estate,19,bank,rent,1,unskilled resident,1,none,yes,bad
<0,4,delayed previously,furniture/equipment,2765,<100,4<=X<7,1,male mar/wid,co applicant,2,real estate,43,bank,rent,1,skilled,1,none,yes,good
no checking,42,all paid,domestic appliance,11939,<100,>=7,4,male single,none,1,car,32,none,own,1,skilled,1,none,yes,good
>=200,8,critical/other existing credit,repairs,15181,>=1000,4<=X<7,1,female div/dep/mar,none,2,real estate,20,bank,own,2,skilled,1,yes,yes,bad
0<=X<200,5,existing paid,furniture/equipment,1211,100<=X<500,>=7,2,female div/dep/mar,co applicant,1,real estate,25,none,rent,1,unskilled resident,2,none,yes,bad
0<=X<200,11,all paid,domestic appliance,1376,<100,1<=X<4,4,female div/dep/mar,guarantor,2,no known property,51,none,own,2,unskilled resident,2,none,no,bad
0<=X<200,50,no credits/all paid,radio/tv,15900,100<=X<500,unemployed,1,female div/dep/mar,none,3,no known property,34,stores,own,1,skilled,1,yes,yes,bad
0<=X<200,5,existing paid,retraining,786,>=1000,>=7,4,male div/sep,none,4,car,60,none,rent,4,unskilled resident,1,yes,no,good
>=200,27,no credits/all paid,education,852,100<=X<500,unemployed,4,female div/dep/mar,co applicant,1,no known property,26,bank,rent,1,unskilled resident,2,none,no,bad
<0,59,critical/other existing credit,repairs,15811,100<=X<500,<1,4,female div/dep/mar,guarantor,1,car,47,bank,for free,2,unskilled resident,2,none,yes,bad
0<=X<200,8,delayed previously,radio/tv,783,<100,>=7,4,female div/dep/mar,none,2,no known property,20,none,rent,2,unskilled resident,1,yes,no,good
0<=X<200,69,delayed previously,other,12553,100<=X<500,4<=X<7,2,male single,guarantor,4,no known property,58,stores,own,2,skilled,2,yes,no,bad
<0,36,all paid,education,3135,<100,1<=X<4,4,male single,none,2,no known property,33,bank,own,3,unskilled resident,1,none,yes,good
<0,27,critical/other existing credit,retraining,3893,<100,>=7,1,male mar/wid,co applicant,2,real estate,19,stores,own,2,skilled,1,none,yes,bad
0<=X<200,5,no credits/all paid,used car,2830,500<=X<1000,4<=X<7,1,female div/dep/mar,none,1,car,20,none,own,4,skilled,2,yes,no,bad
>=200,8,all paid,used car,3052,100<=X<500,unemployed,1,male single,co applicant,1,car,20,none,rent,4,unskilled resident,1,none,yes,good
>=200,5,all paid,business,14047,<100,unemployed,4,male div/sep,co applicant,4,life insurance,20,none,rent,2,unskilled resident,1,yes,yes,bad
0<=X<200,40,existing paid,education,1939,100<=X<500,unemployed,1,female div/dep/mar,co applicant,3,life insurance,26,none,own,4,skilled,2,none,no,bad
0<=X<200,10,critical/other existing credit,domestic appliance,689,<100,4<=X<7,4,male mar/wid,guarantor,3,life insurance,57,none,own,4,unskilled resident,1,none,no,good
<0,16,all paid,furniture/equipment,1723,<100,4<=X<7,2,male mar/wid,guarantor,4,no known property,35,stores,own,1,skilled,1,none,yes,good
>=200,25,delayed previously,education,13529,100<=X<500,4<=X<7,1,female div/dep/mar,none,1,real estate,24,bank,own,2,skilled,2,yes,yes,good
0<=X<200,52,no credits/all paid,retraining,5286,<100,unemployed,1,female div/dep/mar,none,1,real estate,38,stores,rent,1,skilled,2,yes,no,good
no checking,8,no credits/all paid,retraining,1206,<100,>=7,4,male div/sep,none,1,life insurance,26,bank,rent,1,unskilled resident,2,none,yes,good
0<=X<200,46,existing paid,repairs,1954,>=1000,4<=X<7,2,male mar/wid,none,1,car,30,none,own,4,skilled,2,none,no,bad
