tenure,MonthlyCharges,TotalCharges,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
2,53.85,108.15,Male,0,No,No,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,Yes
2,70.7,151.65,Female,1,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
8,99.65,820.499999999999,Female,1,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
22,89.1,1949.4,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),Yes
10,29.75,301.900000000001,Female,0,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No
28,104.8,3046.05,Female,1,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
16,18.95,326.800000000001,Male,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No
49,103.7,5036.3,Male,1,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes
69,113.25,7895.15,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),No
10,55.2,528.35,Female,0,Yes,Yes,No,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),Yes
1.00000000000001,39.65,39.6500000000006,Male,1,No,No,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes
58,59.9,3505.1,Female,0,Yes,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),No
49,59.6,2970.3,Male,0,Yes,Yes,No,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),No
1.99999999999999,95.5,181.649999999999,Male,1,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes
1.00000000000001,20.2,20.1999999999998,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No
1,45.25,45.2499999999996,Male,1,No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),No
34,106.35,3549.25,Male,1,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
17,20.75,418.250000000001,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,No
1.99999999999999,80.65,144.15,Female,1,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
69,64.15,4254.1,Female,0,Yes,Yes,No,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No
43,90.25,3838.75,Female,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes
15,99.1,1426.4,Female,1,No,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes
18,95.45,1752.55,Male,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
63,99.65,6311.2,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),No
47,100.5,4707.1,Female,1,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
60,89.9,5450.7,Male,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes
72,42.1,2962,Male,0,Yes,Yes,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),No
18,54.4,957.1,Female,0,Yes,Yes,No,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),No
8.99999999999999,94.4,857.249999999999,Female,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,Yes
2.99999999999999,75.3,244.1,Female,0,No,No,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No
52,20.4,1090.65,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,No
64,111.6,7099,Male,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No
2.99999999999999,64.5,177.4,Female,0,Yes,Yes,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),No
30,74.75,2111.3,Male,1,No,No,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No
7,75.15,496.899999999999,Female,1,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes
35,62.15,2215.45,Female,0,Yes,Yes,No,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),No
48,20.65,1057,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No
29,33.75,1009.25,Male,0,No,Yes,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,No
1,74.7,74.6999999999994,Male,1,No,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,Yes
65,111.05,7107,Female,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),No
72,100.9,7459.05,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No
12,78.95,927.349999999999,Female,1,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
52,21,1107.2,Male,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No
66,45.55,3027.25,Female,1,Yes,No,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),No
5.00000000000001,24.3,100.200000000001,Male,0,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,No
72,19.4,1363.25,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No
52,57.95,3042.25,Female,0,No,No,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),No
43,91.65,3954.1,Female,1,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
27,85.2,2151.6,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),No
2.99999999999999,74.4,229.55,Male,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
7,50.7,350.35,Female,0,Yes,Yes,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No
72,23.55,1723.95,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No
71,56.45,3985.35,Male,1,No,No,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,No
13,85.95,1215.65,Female,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
25,58.6,1502.65,Female,0,Yes,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),Yes
1.00000000000001,35.45,35.4499999999998,Male,1,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
23,75,1778.5,Female,0,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes
71,23.95,1756.2,Male,1,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No
3,19.6,61.3500000000004,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,No
70,108.15,7930.55,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),No
62,86.1,5215.25,Male,0,Yes,Yes,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,No
6,19.7,113.5,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No
14,80.9,1152.8,Female,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes
13,56,764.55,Female,0,Yes,Yes,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,No
2,69.7,135.2,Female,1,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
58,45.3,2651.2,Male,1,Yes,No,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,Yes
16,20.4,321.400000000001,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No
32,20.55,654.550000000001,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),No
34,24.7,780.200000000001,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No
15,74.45,1145.7,Female,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,Yes
7,76.45,503.599999999999,Female,1,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes
1.00000000000001,29.95,29.9500000000003,Female,0,No,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes
1,45.3,45.3000000000002,Female,0,No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,No
13,79.25,1111.65,Female,1,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes
3,30.4,82.150000000001,Male,0,No,No,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,No
72,109.7,8129.3,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),No
59,19.3,1192.7,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No
1.00000000000002,20.75,20.7500000000009,Male,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No
19,106.6,1934.45,Female,1,No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
64,102.45,6654.1,Male,1,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),No
61,19.75,1124.2,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No
8,80,624.599999999999,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes
